date_time,Número de tarjetas principales,Transaciones de consumos totales,Transacciones de consumos corrientes,Transacciones de consumos rotativos,Transacciones de consumos diferidos,Facturación total,Facturación de consumos corrientes (Dólares),Facturación de consumos rotativos (Dólares),Facturación de consumos diferidos (Dólares),Transacciones de consumos en el exterior,Facturación de consumos en el exterior (Dólares),Transacciones de consumos por internet,Facturación de consumos por internet (Dólares)
2015-01-01,2402206.000000008,10549472.999999994,3232824.6816602354,3345888.977893844,3970759.3404459152,778404210.2400012,205422861.21156883,224815824.6799591,348165524.34847337,NA,NA,NA,NA
2015-02-01,2409085.999999995,10422107.000000022,3193794.1112796823,3305493.358552638,3922819.5301677035,758044586.2899995,200049904.39815256,218935633.40108326,339059048.4907637,NA,NA,NA,NA
2015-03-01,2424301.000000007,10931145.999999996,3349786.1540222494,3466941.042187452,4114418.803790295,838028284.8000005,221157806.9275363,242036229.34459046,374834248.52787375,NA,NA,NA,NA
2015-04-01,2451906.0000000014,10283533.000000006,3151328.9144460163,3261542.9906790275,3870661.0948749618,757175756.8800011,199820618.09553656,218684701.3046924,338670437.4797721,NA,NA,NA,NA
2015-05-01,2460723.0000000005,10836556.99999999,3320799.904774199,3436941.0324684815,4078816.0627573105,810932588.5999994,214007183.42537475,234210550.59523898,362714854.57938564,NA,NA,NA,NA
2015-06-01,2480644.9999999963,11224248.000000002,3439605.558256375,3559901.77597943,4224740.665764197,818946492.3299993,216122073.1086963,236525096.62706253,366299322.5942405,NA,NA,NA,NA
2015-07-01,2513892.999999982,12175099.000000011,3730988.320350875,3861475.3124508136,4582635.367198323,879907802.1499994,232209918.62865853,254131716.63304657,393566166.88829434,NA,NA,NA,NA
2015-08-01,2604273.999999995,10930047.000000011,3349449.371860231,3466592.4814596646,4114005.1466801157,818303549.4699991,215952398.84414414,236339404.24848655,366011746.37736845,NA,NA,NA,NA
2015-09-01,2558375.000000009,11010656.999999963,3374151.837811703,3492158.887526381,4144346.274661879,835421767.2499998,220469940.28206396,241283424.58732232,373668402.38061345,NA,NA,NA,NA
2015-10-01,2571579,10969210.999999981,3361450.9520180686,3479013.8029730837,4128746.245008829,794651199.9900022,209710483.34492186,229508220.16184774,355432496.4832325,NA,NA,NA,NA
2015-11-01,2569016.0000000093,11162698.999999993,3420744.22496214,3540380.789414469,4201573.985623384,789041831.2500002,208230156.59308344,227888143.03144696,352923531.6254698,NA,NA,NA,NA
2015-12-01,2559836.000000008,11782765.999999996,3610760.152950489,3737042.304246131,4434963.542803377,832575799.9800005,219718882.24328813,240461462.84765008,372395454.8890622,NA,NA,NA,NA
2016-01-01,2547448.999999952,10768233,2567523.999999997,5218972.999999995,2981736.0000000075,719009612.2900002,139739330.7599998,265563463.16000044,313706818.37,183868.99999999962,45772173.0200003,222346.99999999956,32130504.740000125
2016-02-01,2533069.0000000107,10579045.000000017,2522415.000000008,5127280.000000007,2929350.0000000023,728639982.4599996,141609531.41999924,269117629.8000011,317912821.23999923,183216.9999999989,47659551.730000176,215001,35646893.619999714
2016-03-01,2521733.999999986,11175717.000000058,2627870.000000004,5438681.000000056,3109165.999999998,768647012.96,148120622.5299986,285866901.12999976,334659489.3000017,362705.0000000034,105948685.22999853,468495.99999999866,61141002.359999426
2016-04-01,2516002.000000001,10769404.000000026,2604612.0000000144,5197329.000000011,2967462.9999999995,753735364.9200013,147755443.25999996,276430256.28000146,329549665.3799999,381540.00000000105,109143650.96999933,401801.0000000003,55542930.65999986
2016-05-01,2505733.0000000033,10956376.999999959,2599450.9999999744,5430844.99999998,2926081.000000003,772166360.9099959,147551325.96999958,284693254.78999627,339921780.1500001,374958.0000000013,111230098.39999977,483165.9999999965,50484262.41000079
2016-06-01,2504966.9999999874,10977598.999999924,2680575.0000000037,5456948.999999945,2840074.999999975,756627888.4499991,149635955.2699999,280504246.3000022,326487686.8799971,506550.0000000003,106003295.81999996,472640.00000000163,51038505.83000032
2016-07-01,2512795.0000000168,11000389.00000001,2634500.000000015,5324293.999999992,3041595.000000003,757801153.0399994,145192263.6400003,273994030.4399991,338614858.9599999,1014282.0000000051,106045160.58999966,514875.99999999994,55607634.41000054
2016-08-01,2540979.0000000116,11658926.000000022,2657519.000000012,5918242.000000019,3083164.999999993,819612732.4799993,147703363.95999983,321496378.36000067,350412990.15999883,1306938.0000000137,137046026.1700006,636042.9999999986,61329491.530000106
2016-09-01,2561377.9999999898,11453541.999999946,2676389.9999999804,5704115.9999999525,3073036.0000000135,817101836.1200063,158144006.5200001,307531277.44000614,351426552.1600001,1294008.999999995,136456239.88999906,626002.9999999936,66262145.6999993
2016-10-01,2564764.9999999907,11706664.99999994,2661614.0000000037,5969225.999999966,3075824.9999999707,811336532.7400022,152731682.8099999,310081199.9000032,348523650.029999,1318520.9999999895,138068971.62000063,665688.9999999969,58038540.16000001
2016-11-01,2551308.9999999846,12169639.000000013,2734134.0000000065,6301599.000000025,3133905.999999981,844987870.2899966,157280379.6900003,326569094.6499981,361138395.9499982,1429056.9999999972,148380065.89000076,700630.9999999974,69294350.49999991
2016-12-01,2572188.0000000084,12559399.999999993,2829711.9999999846,6373914.999999986,3355773.0000000224,866092146.2600021,163256833.22000045,321477072.9900009,381358240.0500007,1310991.9999999988,127374787.48000015,613985.0000000051,49928869.4300004
2017-01-01,2552615.999999975,12089808.999999972,2670456.9999999963,6155728.999999981,3263622.999999995,791597769.2800014,148338923.80999961,294724343.4900025,348534501.97999924,1194635.999999995,112267482.69771028,628775.9999999998,61824777.61691578
2017-02-01,2555198.9999999977,11495043,2534532.9999999925,5782691.9999999935,3177818.0000000135,731154329.6499982,139087634.27000016,265071097.11999837,326995598.2599996,1041127.0000000029,100806731.56771591,539465.0000000006,54986200.72386587
2017-03-01,2567974.9999999767,12750486.000000019,2619438.999999989,6865912.000000027,3265135.0000000047,864916798.7799997,148753761.77999967,338375897.10999894,377787139.8900011,1472544.999999988,141235684.18185404,836123.9999999999,90430092.64240798
2017-04-01,2567830.9999999814,12325144.999999972,2624757.0000000247,6561149.999999974,3139237.9999999735,822266947.0099978,149257949.0699998,319421178.8599972,353587819.08000076,1509833.8290001117,141643438.7848701,804624.0000000002,79389158.55623165
2017-05-01,2591045.000000019,12998565.000000024,2639927.0000000065,7138074.00000002,3220563.9999999986,898672317.2200006,150648045.34000042,373594985.72999835,374429286.1500019,1670622.000000016,151888832.72283903,896955.0000000059,75717714.98032023
2017-06-01,2625916.000000014,13548615.000000063,2748303.9999999995,7612637.00000008,3187673.9999999837,852042828.5300055,152754770.77000004,334303097.4700022,364984960.29000324,1544332.999999999,133851323.79223725,880397.0000000023,71611499.67427024
2017-07-01,2657208.0000000126,12789165.999999953,2775707.0000000033,6783956.999999975,3229501.9999999753,855383637.7699983,152210361.8299998,338283302.7899979,364889973.1500007,1643930.0000000002,139215791.4766115,962688.9999999987,77973062.34801799
2017-08-01,2693074.000000008,13723551.000000153,2822480,7605865.000000178,3295205.9999999744,918877339.2700007,160509287.2899999,376138047.9800002,382230004.00000066,1886362.9999999765,167289308.25617793,992322.0000000024,105748995.94872455
2017-09-01,2740166.0000000233,13113560.999999998,2806113.9999999898,6935815.999999997,3371631.0000000116,923574816.600002,158559655.61000013,358932967.9700007,406082193.02000123,1809863.9999999963,155899630.60529262,977247.9999999988,89077521.64137809
2017-10-01,2771119.000000033,13829808.000000061,2831380,7594545.000000053,3403883.000000009,938252910.7799935,156760726.68999934,372378811.849995,409113372.2399992,2117577.0000000047,181654870.33787385,1030401.0000000041,77690874.28441781
2017-11-01,2810552.9999999846,14412699.000000045,2965812.9999999944,7985453.0000000335,3461433.0000000177,974487461.8199946,166464477.1500007,391392911.8599983,416630072.80999553,1874839.0000000065,159651907.97250456,1057958.9999999995,92321789.63509233
2017-12-01,2841332.999999989,14621809.000000004,3046310.000000002,7956367.999999973,3619131.00000003,980194568.4399989,170391115.13999975,388963198.45999753,420840254.8400016,1838358.0000000065,142671938.2844694,1010810.9999999999,72501744.9095039
2018-01-01,2873433.9999999967,14663477.999999901,2913467.999999989,8258659.999999921,3491349.9999999907,929851475.900009,157937336.61000073,373060779.70000577,398853359.59000254,1789746.9999999946,135340493.1099999,1186229.0000000019,93546413.79999986
2018-02-01,2902797.000000008,14342734.999999942,2801477.000000009,7964499.999999942,3576757.99999999,899209774.500004,151070528.08999956,355708677.2300048,392430569.17999977,1692755.999999994,134613757.30999887,1060817.000000003,83949957.8999997
2018-03-01,2921640.000000029,14747588.999999993,2831118.0000000005,8147747.999999985,3768723.0000000065,970725958.1399957,155903307.97000036,384786749.7999959,430035900.3699994,1924236.9999999974,157394551.33999988,1164886.9999999935,107383102.07000007
2018-04-01,2949916.9999999916,15085142.999999994,2900599.000000015,8366912.99999999,3817630.99999999,999263379.9700065,164458341.50000072,404192481.07000184,430612557.4000039,2096396.0000000175,172784598.24000034,1231456.9999999902,103538181.11999959
2018-05-01,2966130.999999962,16037593.999999875,2980899.9999999898,9197278.999999933,3859414.999999953,1077867622.909996,166721718.55999917,444136987.669997,467008916.67999977,2303397.0000000102,181720738.6100009,1411859.9999999981,113330525.19000013
2018-06-01,2991974.9999999963,14954244.000000034,2995588.9999999837,8414336.000000037,3544319.000000014,980570379.44,163135114.62999997,383440201.17999995,433995063.6300001,2002807.0000000035,150466749.41999823,1348066.999999999,98652023.51999995
2018-07-01,3036882.000000006,15758447.00000006,3072780.0000000107,8945847.000000032,3739820.000000017,1007008580.4699998,162834861.13000065,409085684.8199988,435088034.5200003,2175661.0000000047,157068160.13999984,1444075.0000000016,107092542.8599996
2018-08-01,3072123.9999999693,16463462.999999946,3160248.9999999832,9448489.999999942,3854724.00000002,1072161841.9300022,175457661.56999838,443014912.53000396,453689267.83,2388406.00000001,183455742.8100011,1429207.9999999977,133094905.45999956
2018-09-01,3108785.999999987,16120687.00000001,3106560.999999986,9074432,3939694.0000000247,1055862919.0425487,172325131.99255165,433118897.25999844,450418889.78999853,2373744.9999999707,182759519.94707823,1591587.000000004,125896008.03000055
2018-10-01,3108908.0000000065,17127259.000000026,3153715.999999994,9917743.000000032,4055799.9999999995,1115793469.6200058,173614701.44000235,465546103.5400015,476632664.640002,2677754.0000000033,194508659.97706613,1799611.9999999988,125026565.11999974
2018-11-01,3133360.000000026,16426873,3188313.999999991,9167997.000000022,4070561.999999988,1130601963.7099988,176194275.77000105,464981597.3700002,489426090.56999755,2696681.9999999614,197099393.4300005,1848962.9999999856,132511647.2300006
2018-12-01,3149193.9999999665,16341784.999999989,3262836.9999999846,8979430.999999996,4099517.000000007,1105965262.3395166,180278223.51951924,440511928.62999594,485175110.19000155,2478445.0000000275,163986629.57780668,1692467.0000000156,101439294.06999934
2019-01-01,3161695.9999999586,16383232.99999992,3139498.0000000023,9290096.999999931,3953637.9999999865,1093084177.719993,168810153.66000003,449539085.46999717,474734938.5899959,2486387.0000000037,158771535.27000055,1874519.000000006,122640471.86000085
2019-02-01,3176447.000000034,15799964.000000043,3011607.999999997,8691544.000000015,4096812.000000031,1042189033.4900055,160899357.13000017,419001801.47000414,462287874.89000124,2399335.000000018,156516377.55999982,1763126.999999997,119656401.56000017
2019-03-01,3196738.000000046,15980937.999999888,3000808.000000003,8715966.999999888,4264162.999999995,1076311246.3399982,162214773.7499999,434218784.3799989,479877688.2099993,2595763.9999999995,177178150.1499991,1958678.0000000168,146897090.2100006
2019-04-01,3233680,17383674,3174285.999999987,9769476.000000011,4439912,1186606633.809997,172991483.30000103,491462796.1699993,522152354.3399968,3047036.9999999832,201658621.3899996,2145674.0000000107,135666684.91999945
2019-05-01,3249862.0000000442,17074453.000000075,3160797.9999999986,9659391.000000076,4254264.000000002,1167217403.539985,170708353.4199994,478629976.26999205,517879073.8499935,2944296.9999999893,189747347.57999834,1978575.9999999763,133172895.61999951
2019-06-01,3268236.000000016,16563123.000000007,3079754.0000000065,9338633.999999989,4144735.0000000107,1143283403.1700053,162385855.20999923,485746816.450001,495150731.51000506,2835580.0000000047,172915644.57999915,1920931.999999999,126843691.12000018
2019-07-01,3304393.999999968,17788991.999999847,3227870.999999987,10346383.999999877,4214736.999999983,1182161463.9300098,163769387.99000058,502897831.0100067,515494244.93000245,3119653.999999989,185738342.99000055,2178980,138503066.54999906
2019-08-01,3341908.999999995,17552942.99999983,3193415.9999999963,10139801.999999868,4219724.999999963,1193863072.929997,168263740.19000003,507097036.4500011,518502296.28999573,3192569.000000021,204567402.50000066,1995055.0000000142,170471222.1600005
2019-09-01,3373964.000000012,17696877.00000001,3116356.000000018,10273793.999999983,4306727.000000008,1221890741.6000037,166269561.12999985,519502756.98000455,536118423.4899993,3327909.9999999707,205833786.4199996,2103133.0000000075,153362355.92999983
2019-10-01,3416249.0000000154,17246013.000000056,3041488.999999999,10022613.000000019,4181911.0000000386,1171583479.570009,156564237.7600009,504620987.2500028,510398254.5600053,3234302.000000005,195008417.03000045,2103975.000000001,130910596.57999906
2019-11-01,3436111.999999966,17542015,3178870.9999999884,10149955.999999974,4213188.000000039,1183525633.4100053,163130473.63999936,505820946.8900057,514574212.8800003,3258195.0000000205,196126451.4299995,2169506,139221260.00000027
2019-12-01,3468619.999999951,18951376,3384409.9999999944,11009644.000000002,4557322.000000006,1309489421.8300014,175772481.78999767,562522207.600002,571194732.4400017,3480385.000000019,202057248.35999727,2182623.000000006,130784283.7599993
2020-01-01,3490289.9999999884,17913542.000000138,3192012.000000022,10477098.000000112,4244432.000000005,1210925355.769998,163129428.97000015,524449679.22999823,523346247.5699998,3107643.999999993,173593016.86999878,2178110.00000001,145860821.56000137
2020-02-01,3513053.0000000335,17732125.000000037,3117374.000000004,10243726.000000004,4371025.000000029,1143427001.6799922,155475592.10999963,484483047.7299976,503468361.8399951,3069518.9999999874,171901031.1500003,2065202.9999999998,139964019.69999966
2020-03-01,3517680.999999988,16603780.99999997,2733792.999999998,9388050.999999981,4481936.999999991,1054604845.0300015,140243362.12999976,440753716.80000037,473607766.10000145,2833969.000000001,148286373.22999918,1653759.9999999953,124967424.72000074
2020-04-01,3474782.0000000196,11317501.999999987,1547069.9999999946,5818684.000000017,3951747.9999999753,823294561.8799999,83702633.72000039,246468401.24999902,493123526.9100004,1768701.0000000042,71634580.9499998,1384745.9999999949,101192124.47999981
2020-05-01,3443479.999999969,9706032.000000058,1472209.0000000065,5205961.000000016,3027862.0000000354,722681346.0400033,78214992.74000004,223726707.27999923,420739646.0200041,1697545.0000000007,69156651.04999983,1577041.000000016,109574669.86000031
2020-06-01,3407718.9999999967,11652472.000000028,1777296.0000000002,6795703.000000014,3079473.0000000126,912960953.1300049,91822700.41999999,302186239.7700013,518952012.94000363,2068029.0000000147,90903089.73000024,1687132.0000000012,123947560.09000014
